column_name,column_1,column_2,group,feature_1,feature_2,target
value_1,2.3,1.2,A,0.8,0.5,0
value_1,3.1,2.8,A,1.2,0.7,0
value_1,2.6,1.4,A,1.1,0.6,0
value_1,2.2,1.3,A,0.9,0.8,0
value_1,2.9,1.6,A,1.3,0.9,1
value_1,2.4,1.5,A,1,0.7,0
value_1,3,1.7,A,1.4,0.6,0
value_1,2.7,1.6,A,0.8,0.8,1
value_1,2.5,1.4,A,1.2,0.9,0
value_1,3.2,2.9,A,1.1,0.7,0
value_2,1.7,0.9,B,1.5,0.3,1
value_2,2.8,1.5,B,1.8,0.9,1
value_2,1.9,1,B,1.7,0.4,1
value_2,2.1,1.2,B,1.4,0.3,1
value_2,1.8,0.8,B,1.9,0.1,1
value_2,2.3,1.3,B,1.3,0.4,1
value_2,2,0.9,B,1.5,0.2,1
value_2,1.6,1,B,1.6,0.5,1
value_2,2.9,1.6,B,1.7,0.8,1
value_2,2.2,1.1,B,1.6,0.7,1
value_1,3.3,2.4,C,1.2,0.5,1
value_1,2.8,1.9,C,1.4,0.8,1
value_1,3.1,2.1,C,1.5,0.6,1
value_1,2.5,1.7,C,1.1,0.9,1
value_1,2.9,2,C,1.3,0.7,1
value_1,2.7,1.8,C,1,0.5,1
value_1,3.2,2.2,C,1.2,0.8,1
value_1,2.6,1.6,C,1.3,0.6,1
value_1,3,2.3,C,1.1,0.9,1
value_1,2.4,1.9,C,1.4,0.7,1
