Feature 1,Feature 2,Feature 3,Feature 4,Target
0.978826,0.269072,0.428748,0.610744,1
0.516343,0.242067,0.749536,0.066392,0
0.41978,0.294532,0.495886,0.62397,1
0.696939,0.712466,0.604261,0.515039,1
0.84473,0.153239,0.740513,0.906168,0
0.263913,0.223969,0.626643,0.202905,1
0.779068,0.102143,0.645494,0.871855,1
0.36893,0.7815,0.839945,0.79116,0
0.020271,0.78091,0.88031,0.121714,0
0.465586,0.153995,0.341292,0.63589,1
0.401776,0.592422,0.217769,0.300505,1
0.354794,0.163512,0.284524,0.318287,0
0.500309,0.364423,0.700329,0.91358,1
0.87272,0.688425,0.424251,0.389894,0
0.510309,0.766692,0.572782,0.024223,0
0.985158,0.976037,0.068503,0.965249,1
0.666613,0.742152,0.778903,0.57304,1
0.478396,0.251852,0.282353,0.99528,0
0.479915,0.009384,0.357534,0.988294,0
0.267974,0.928406,0.706302,0.743876,1
0.212866,0.966364,0.485466,0.966477,0
0.122085,0.294432,0.308173,0.308123,1
0.305006,0.568124,0.720579,0.149618,0
0.982261,0.309835,0.212471,0.264003,1
0.17901,0.27092,0.503678,0.761646,0
0.026226,0.592206,0.609505,0.771363,1
0.658227,0.09931,0.274769,0.748674,0
0.644752,0.498001,0.063395,0.217171,0
0.189492,0.708864,0.894251,0.552792,1
0.036383,0.148211,0.923054,0.706066,1
0.138619,0.147768,0.118038,0.215524,0
0.779571,0.576349,0.072248,0.251698,0
